Virtual User Script started at : 1/24/2017 7:45:32 PM
Starting action vuser_init.
Web Turbo Replay of LoadRunner 12.53.0 for Windows 10; build 1203 (Jan 24 2017 19:13:20)  	[MsgId: MMSG-26983]
Action.c(4): Found resource "http://localhost:60680/images/person2.jpg" in HTML "http://localhost:60680/"  	[MsgId: MMSG-26659]
Action.c(4): Found resource "http://localhost:60680/images/person3.jpg" in HTML "http://localhost:60680/"  	[MsgId: MMSG-26659]
Action.c(4): Found resource "http://localhost:60680/images/logo1.png" in HTML "http://localhost:60680/"  	[MsgId: MMSG-26659]
Action.c(4): Found resource "http://localhost:60680/images/logo2.png" in HTML "http://localhost:60680/"  	[MsgId: MMSG-26659]
Action.c(4): Found resource "http://localhost:60680/images/logo3.png" in HTML "http://localhost:60680/"  	[MsgId: MMSG-26659]
Action.c(4): Found resource "http://localhost:60680/images/logo4.png" in HTML "http://localhost:60680/"  	[MsgId: MMSG-26659]
Action.c(4): Found resource "http://localhost:60680/images/logo5.png" in HTML "http://localhost:60680/"  	[MsgId: MMSG-26659]
Action.c(4): Found resource "http://localhost:60680/js/jquery.min.js" in HTML "http://localhost:60680/"  	[MsgId: MMSG-26659]
Action.c(4): Found resource "http://localhost:60680/js/jquery.easing.1.3.js" in HTML "http://localhost:60680/"  	[MsgId: MMSG-26659]
Action.c(4): Found resource "http://localhost:60680/js/bootstrap.min.js" in HTML "http://localhost:60680/"  	[MsgId: MMSG-26659]
Action.c(4): Found resource "http://localhost:60680/js/jquery.waypoints.min.js" in HTML "http://localhost:60680/"  	[MsgId: MMSG-26659]
Action.c(4): Found resource "http://localhost:60680/js/jquery.stellar.min.js" in HTML "http://localhost:60680/"  	[MsgId: MMSG-26659]
Action.c(4): Found resource "http://localhost:60680/js/owl.carousel.min.js" in HTML "http://localhost:60680/"  	[MsgId: MMSG-26659]
Action.c(4): Found resource "https://maps.googleapis.com/maps/api/js?key=AIzaSyCefOgb1ZWqYtj7raVSmN4PL2WkTrc-KyA&sensor=false" in HTML "http://localhost:60680/"  	[MsgId: MMSG-26659]
Action.c(4): Found resource "http://localhost:60680/js/google_map.js" in HTML "http://localhost:60680/"  	[MsgId: MMSG-26659]
Action.c(4): Found resource "http://localhost:60680/js/main.js" in HTML "http://localhost:60680/"  	[MsgId: MMSG-26659]
Action.c(4): Found resource "http://localhost:9264/981241ba45fd409bb2f04296b511663a/browserLink" in HTML "http://localhost:60680/"  	[MsgId: MMSG-26659]
Action.c(4): Warning -26604: Unsupported "Content-Encoding"  	[MsgId: MWAR-26604]
Action.c(4): Notify: Transaction "http://localhost:60680/js/modernizr-2.6.2.min.js" will be skipped - could not calculate the transaction time (duration=0.1556, think_time=0.0000, wasted_time=1.1010).
Action.c(4): Warning -26627: HTTP Status-Code=404 (Not Found) for "http://localhost:60680/__browserLink/requestData/db6145a6f2da4610b869955b32bdfe1c?version=2"  	[MsgId: MWAR-26627]
Action.c(4): web_url("localhost:60680") highest severity level was "warning", 682385 body bytes, 18400 header bytes, 271 chunking overhead bytes  	[MsgId: MMSG-26387]
Action.c(26): web_set_sockets_option started  	[MsgId: MMSG-26355]
Action.c(26): web_set_sockets_option was successful  	[MsgId: MMSG-26392]
Action.c(28): web_url("seed") started  	[MsgId: MMSG-26355]
Action.c(28): HTML parsing not performed for Content-Type "application/octet-stream" ("ParseHtmlContentType" Run-Time Setting is "TEXT"). URL="https://clients4.google.com/chrome-variations/seed?osname=win"  	[MsgId: MMSG-26548]
Action.c(28): Downloading resource "https://www.google-analytics.com/r/__utm.gif?utmwv=5.6.7&utms=10&utmn=1980896732&utmhn=cmedhionkhpnakcndndgjdbohmhepckk&utmcs=UTF-8&utmsr=1536x864&utmsc=24-bit&utmul=en-us&utmje=0&utmfl=24.0%20r0&utmhid=1572435900&utmr=-&utmp=%2F_generated_background_page.html&utmht=1485308624764&utmac=UA-55554816-1&utmcc=__utma%3D8709543.1154732258.1467819443.1485271030.1485305421.387%3B%2B__utmz%3D8709543.1467819443.1.1.utmcsr%3D(direct)%7Cutmccn%3D(direct)%7Cutmcmd%3D(none)%3B&utmjid=1154484928&utmredir=1&utmu=qAAAAAAAAAAAAAAAAAAAAAAE~" (specified by argument number 8)  	[MsgId: MMSG-26577]
Action.c(28): web_url("seed") was successful, 148942 body bytes, 763 header bytes, 14 chunking overhead bytes  	[MsgId: MMSG-26385]
Action.c(39): web_add_cookie started  	[MsgId: MMSG-26355]
Action.c(39): web_add_cookie was successful  	[MsgId: MMSG-26392]
Action.c(41): web_add_cookie started  	[MsgId: MMSG-26355]
Action.c(41): web_add_cookie was successful  	[MsgId: MMSG-26392]
Action.c(43): web_add_cookie started  	[MsgId: MMSG-26355]
Action.c(43): web_add_cookie was successful  	[MsgId: MMSG-26392]
Action.c(45): web_add_cookie started  	[MsgId: MMSG-26355]
Action.c(45): web_add_cookie was successful  	[MsgId: MMSG-26392]
Action.c(47): web_custom_request("returnCookies") started  	[MsgId: MMSG-26355]
Action.c(47): HTML parsing not performed for Content-Type "application/json" ("ParseHtmlContentType" Run-Time Setting is "TEXT"). URL="http://external-rules.foxydeal.com/inline/returnCookies"  	[MsgId: MMSG-26548]
Action.c(47): Downloading resource "https://fonts.gstatic.com/s/ptsans/v8/ATKpv8nLYAKUYexo8iqqrg.woff2" (specified by argument number 9)  	[MsgId: MMSG-26577]
Action.c(47): Downloading resource "https://fonts.gstatic.com/s/ptsans/v8/PIPMHY90P7jtyjpXuZ2cLFtXRa8TVwTICgirnJhmVJw.woff2" (specified by argument number 12)  	[MsgId: MMSG-26577]
Action.c(47): Downloading resource "https://fonts.gstatic.com/s/ptsans/v8/0XxGQsSc1g4rdRdjJKZrNPk_vArhqVIZ0nv9q090hN8.woff2" (specified by argument number 15)  	[MsgId: MMSG-26577]
Action.c(47): Downloading resource "https://sstats.adobe.com/b/ss/adbcreatepdfplugin.prod/1/JS-1.6/s82887643290460?AQB=1&ndh=1&pf=1&t=24%2F0%2F2017%2019%3A43%3A46%202%20360&fid=050FD01EA11D12D1-2C5CD877843B8EA7&ce=UTF-8&pageName=DCBrowserExt%3AShim%3AVersion%3AUnknown%3AOp&g=chrome-extension%3A%2F%2Fefaidnbmnnnibpcajpcglclefindmkaj%2F_generated_background_page.html&v1=15.1.0.4&v2=sideload&v3=prod&v4=not_set&s=1536x864&c=24&j=1.6&v=N&k=Y&bh=8&AQE=1" (specified by argument number 18)  	[MsgId: MMSG-26577]
Action.c(47): Downloading resource "https://sstats.adobe.com/b/ss/adbcreatepdfplugin.prod/1/JS-1.6/s82980286436935?AQB=1&ndh=1&pf=1&t=24%2F0%2F2017%2019%3A43%3A47%202%20360&fid=050FD01EA11D12D1-2C5CD877843B8EA7&ce=UTF-8&pageName=DCBrowserExt%3AExtension%3AStartup%3AOp&g=chrome-extension%3A%2F%2Fefaidnbmnnnibpcajpcglclefindmkaj%2F_generated_background_page.html&v1=15.1.0.4&v2=sideload&v3=prod&v4=unknown&AQE=1" (specified by argument number 21)  	[MsgId: MMSG-26577]
Action.c(47): Downloading resource "https://sstats.adobe.com/b/ss/adbcreatepdfplugin.prod/1/JS-1.6/s8719679712596?AQB=1&ndh=1&pf=1&t=24%2F0%2F2017%2019%3A43%3A47%202%20360&fid=050FD01EA11D12D1-2C5CD877843B8EA7&ce=UTF-8&pageName=DCBrowserExt%3AShim%3AVersion%3A13.0%3AOp&g=chrome-extension%3A%2F%2Fefaidnbmnnnibpcajpcglclefindmkaj%2F_generated_background_page.html&v1=15.1.0.4&v2=sideload&v3=prod&v4=unknown&AQE=1" (specified by argument number 24)  	[MsgId: MMSG-26577]
Action.c(47): Downloading resource "https://sstats.adobe.com/b/ss/adbcreatepdfplugin.prod/1/JS-1.6/s84200549593469?AQB=1&ndh=1&pf=1&t=24%2F0%2F2017%2019%3A43%3A47%202%20360&fid=050FD01EA11D12D1-2C5CD877843B8EA7&ce=UTF-8&pageName=DCBrowserExt%3AOS%3Awin%3AOp&g=chrome-extension%3A%2F%2Fefaidnbmnnnibpcajpcglclefindmkaj%2F_generated_background_page.html&v1=15.1.0.4&v2=sideload&v3=prod&v4=13.0&AQE=1" (specified by argument number 27)  	[MsgId: MMSG-26577]
Action.c(47): web_custom_request("returnCookies") was successful, 142702 body bytes, 4112 header bytes  	[MsgId: MMSG-26386]
Action.c(64): web_custom_request("query") started  	[MsgId: MMSG-26355]
Action.c(64): web_custom_request("query") was successful, 34 body bytes, 323 header bytes, 56 chunking overhead bytes  	[MsgId: MMSG-26385]
Action.c(76): web_websocket_connect started  	[MsgId: MMSG-26355]
Action.c(76): No socket (out of 16) is CURRENTLY available for a regular connection for URL="ws://localhost:9264/981241ba45fd409bb2f04296b511663a/browserLinkSignalR/connect?transport=webSockets&connectionToken=AQAAANCMnd8BFdERjHoAwE%2FCl%2BsBAAAA4RHf8%2FwaWESxTreUEEgEWwAAAAACAAAAAAAQZgAAAAEAACAAAAC30EdkCf1%2FmT7giZea4qSyNNV6J96YC1%2BnxTJ3cTVZyAAAAAAOgAAAAAIAACAAAAB2GqitgHsotTjuVQHOW%2F2fsPIRy5EvgJh3DJdN6DVqHjAAAADgbqwEyB54jMr6o7RB%2BthdRBkkxr076L0%2FhtZ%2FucrJ8GxdTe%2BthpaTr0rsCXS9LAxAAAAANBQQPrFU1iYBKAMMogQuwlnWohz3%2FWcqlE4FYu9UdC4fvilc8uQRhsk2sExZ9uT68MqbEKS8mpAyfmKOSPIOGw%3D%3D&requestUrl=http%3A%2F%2Flocalhost%3A60680%2F&browserName=Chrome&userAgent=Mozilla%2F5.0+(Windows+NT+10.0%3B+WOW64)+AppleWebKit%2F537.36+(KHTML%2C+like+Gecko)+Chrome%2F55.0.2883.87+Safari%2F537.36&tid=10"  	[MsgId: MMSG-26000]
Action.c(76): Retaining websocket connection of URI="ws://localhost:9264/981241ba45fd409bb2f04296b511663a/browserLinkSignalR/connect?transport=webSockets&connectionToken=AQAAANCMnd8BFdERjHoAwE%2FCl%2BsBAAAA4RHf8%2FwaWESxTreUEEgEWwAAAAACAAAAAAAQZgAAAAEAACAAAAC30EdkCf1%2FmT7giZea4qSyNNV6J96YC1%2BnxTJ3cTVZyAAAAAAOgAAAAAIAACAAAAB2GqitgHsotTjuVQHOW%2F2fsPIRy5EvgJh3DJdN6DVqHjAAAADgbqwEyB54jMr6o7RB%2BthdRBkkxr076L0%2FhtZ%2FucrJ8GxdTe%2BthpaTr0rsCXS9LAxAAAAANBQQPrFU1iYBKAMMogQuwlnWohz3%2FWcqlE4FYu9UdC4fvilc8uQRhsk2sExZ9uT68MqbEKS8mpAyfmKOSPIOGw%3D%3D&requestUrl=http%3A%2F%2Flocalhost%3A60680%2F&browserName=Chrome&userAgent=Mozilla%2F5.0+(Windows+NT+10.0%3B+WOW64)+AppleWebKit%2F537.36+(KHTML%2C+like+Gecko)+Chrome%2F55.0.2883.87+Safari%2F537.36&tid=10" (RelFrameId=1, Internal ID=52)  	[MsgId: MMSG-27637]
Action.c(76): web_websocket_connect was successful, 0 body bytes, 0 header bytes  	[MsgId: MMSG-26386]
Action.c(88): web_websocket_send started  	[MsgId: MMSG-26355]
Action.c(88): Retaining websocket connection of URI="ws://localhost:9264/981241ba45fd409bb2f04296b511663a/browserLinkSignalR/connect?transport=webSockets&connectionToken=AQAAANCMnd8BFdERjHoAwE%2FCl%2BsBAAAA4RHf8%2FwaWESxTreUEEgEWwAAAAACAAAAAAAQZgAAAAEAACAAAAC30EdkCf1%2FmT7giZea4qSyNNV6J96YC1%2BnxTJ3cTVZyAAAAAAOgAAAAAIAACAAAAB2GqitgHsotTjuVQHOW%2F2fsPIRy5EvgJh3DJdN6DVqHjAAAADgbqwEyB54jMr6o7RB%2BthdRBkkxr076L0%2FhtZ%2FucrJ8GxdTe%2BthpaTr0rsCXS9LAxAAAAANBQQPrFU1iYBKAMMogQuwlnWohz3%2FWcqlE4FYu9UdC4fvilc8uQRhsk2sExZ9uT68MqbEKS8mpAyfmKOSPIOGw%3D%3D&requestUrl=http%3A%2F%2Flocalhost%3A60680%2F&browserName=Chrome&userAgent=Mozilla%2F5.0+(Windows+NT+10.0%3B+WOW64)+AppleWebKit%2F537.36+(KHTML%2C+like+Gecko)+Chrome%2F55.0.2883.87+Safari%2F537.36&tid=10" (RelFrameId=1, Internal ID=52)  	[MsgId: MMSG-27637]
Action.c(88): Warning -35047: The WebSocket whose ID is "0" is not connected  	[MsgId: MWAR-35047]
Action.c(88): Retaining websocket connection of URI="ws://localhost:9264/981241ba45fd409bb2f04296b511663a/browserLinkSignalR/connect?transport=webSockets&connectionToken=AQAAANCMnd8BFdERjHoAwE%2FCl%2BsBAAAA4RHf8%2FwaWESxTreUEEgEWwAAAAACAAAAAAAQZgAAAAEAACAAAAC30EdkCf1%2FmT7giZea4qSyNNV6J96YC1%2BnxTJ3cTVZyAAAAAAOgAAAAAIAACAAAAB2GqitgHsotTjuVQHOW%2F2fsPIRy5EvgJh3DJdN6DVqHjAAAADgbqwEyB54jMr6o7RB%2BthdRBkkxr076L0%2FhtZ%2FucrJ8GxdTe%2BthpaTr0rsCXS9LAxAAAAANBQQPrFU1iYBKAMMogQuwlnWohz3%2FWcqlE4FYu9UdC4fvilc8uQRhsk2sExZ9uT68MqbEKS8mpAyfmKOSPIOGw%3D%3D&requestUrl=http%3A%2F%2Flocalhost%3A60680%2F&browserName=Chrome&userAgent=Mozilla%2F5.0+(Windows+NT+10.0%3B+WOW64)+AppleWebKit%2F537.36+(KHTML%2C+like+Gecko)+Chrome%2F55.0.2883.87+Safari%2F537.36&tid=10" (RelFrameId=1, Internal ID=52)  	[MsgId: MMSG-27637]
Action.c(88): web_websocket_send highest severity level was "warning"  	[MsgId: MMSG-26391]
Action.c(93): web_websocket_send started  	[MsgId: MMSG-26355]
Action.c(93): Retaining websocket connection of URI="ws://localhost:9264/981241ba45fd409bb2f04296b511663a/browserLinkSignalR/connect?transport=webSockets&connectionToken=AQAAANCMnd8BFdERjHoAwE%2FCl%2BsBAAAA4RHf8%2FwaWESxTreUEEgEWwAAAAACAAAAAAAQZgAAAAEAACAAAAC30EdkCf1%2FmT7giZea4qSyNNV6J96YC1%2BnxTJ3cTVZyAAAAAAOgAAAAAIAACAAAAB2GqitgHsotTjuVQHOW%2F2fsPIRy5EvgJh3DJdN6DVqHjAAAADgbqwEyB54jMr6o7RB%2BthdRBkkxr076L0%2FhtZ%2FucrJ8GxdTe%2BthpaTr0rsCXS9LAxAAAAANBQQPrFU1iYBKAMMogQuwlnWohz3%2FWcqlE4FYu9UdC4fvilc8uQRhsk2sExZ9uT68MqbEKS8mpAyfmKOSPIOGw%3D%3D&requestUrl=http%3A%2F%2Flocalhost%3A60680%2F&browserName=Chrome&userAgent=Mozilla%2F5.0+(Windows+NT+10.0%3B+WOW64)+AppleWebKit%2F537.36+(KHTML%2C+like+Gecko)+Chrome%2F55.0.2883.87+Safari%2F537.36&tid=10" (RelFrameId=1, Internal ID=52)  	[MsgId: MMSG-27637]
Action.c(93): Warning -35047: The WebSocket whose ID is "0" is not connected  	[MsgId: MWAR-35047]
Action.c(93): Retaining websocket connection of URI="ws://localhost:9264/981241ba45fd409bb2f04296b511663a/browserLinkSignalR/connect?transport=webSockets&connectionToken=AQAAANCMnd8BFdERjHoAwE%2FCl%2BsBAAAA4RHf8%2FwaWESxTreUEEgEWwAAAAACAAAAAAAQZgAAAAEAACAAAAC30EdkCf1%2FmT7giZea4qSyNNV6J96YC1%2BnxTJ3cTVZyAAAAAAOgAAAAAIAACAAAAB2GqitgHsotTjuVQHOW%2F2fsPIRy5EvgJh3DJdN6DVqHjAAAADgbqwEyB54jMr6o7RB%2BthdRBkkxr076L0%2FhtZ%2FucrJ8GxdTe%2BthpaTr0rsCXS9LAxAAAAANBQQPrFU1iYBKAMMogQuwlnWohz3%2FWcqlE4FYu9UdC4fvilc8uQRhsk2sExZ9uT68MqbEKS8mpAyfmKOSPIOGw%3D%3D&requestUrl=http%3A%2F%2Flocalhost%3A60680%2F&browserName=Chrome&userAgent=Mozilla%2F5.0+(Windows+NT+10.0%3B+WOW64)+AppleWebKit%2F537.36+(KHTML%2C+like+Gecko)+Chrome%2F55.0.2883.87+Safari%2F537.36&tid=10" (RelFrameId=1, Internal ID=52)  	[MsgId: MMSG-27637]
Action.c(93): web_websocket_send highest severity level was "warning"  	[MsgId: MMSG-26391]
Action.c(100): web_websocket_send started  	[MsgId: MMSG-26355]
Action.c(100): Retaining websocket connection of URI="ws://localhost:9264/981241ba45fd409bb2f04296b511663a/browserLinkSignalR/connect?transport=webSockets&connectionToken=AQAAANCMnd8BFdERjHoAwE%2FCl%2BsBAAAA4RHf8%2FwaWESxTreUEEgEWwAAAAACAAAAAAAQZgAAAAEAACAAAAC30EdkCf1%2FmT7giZea4qSyNNV6J96YC1%2BnxTJ3cTVZyAAAAAAOgAAAAAIAACAAAAB2GqitgHsotTjuVQHOW%2F2fsPIRy5EvgJh3DJdN6DVqHjAAAADgbqwEyB54jMr6o7RB%2BthdRBkkxr076L0%2FhtZ%2FucrJ8GxdTe%2BthpaTr0rsCXS9LAxAAAAANBQQPrFU1iYBKAMMogQuwlnWohz3%2FWcqlE4FYu9UdC4fvilc8uQRhsk2sExZ9uT68MqbEKS8mpAyfmKOSPIOGw%3D%3D&requestUrl=http%3A%2F%2Flocalhost%3A60680%2F&browserName=Chrome&userAgent=Mozilla%2F5.0+(Windows+NT+10.0%3B+WOW64)+AppleWebKit%2F537.36+(KHTML%2C+like+Gecko)+Chrome%2F55.0.2883.87+Safari%2F537.36&tid=10" (RelFrameId=1, Internal ID=52)  	[MsgId: MMSG-27637]
Action.c(100): Warning -35047: The WebSocket whose ID is "0" is not connected  	[MsgId: MWAR-35047]
Action.c(100): Retaining websocket connection of URI="ws://localhost:9264/981241ba45fd409bb2f04296b511663a/browserLinkSignalR/connect?transport=webSockets&connectionToken=AQAAANCMnd8BFdERjHoAwE%2FCl%2BsBAAAA4RHf8%2FwaWESxTreUEEgEWwAAAAACAAAAAAAQZgAAAAEAACAAAAC30EdkCf1%2FmT7giZea4qSyNNV6J96YC1%2BnxTJ3cTVZyAAAAAAOgAAAAAIAACAAAAB2GqitgHsotTjuVQHOW%2F2fsPIRy5EvgJh3DJdN6DVqHjAAAADgbqwEyB54jMr6o7RB%2BthdRBkkxr076L0%2FhtZ%2FucrJ8GxdTe%2BthpaTr0rsCXS9LAxAAAAANBQQPrFU1iYBKAMMogQuwlnWohz3%2FWcqlE4FYu9UdC4fvilc8uQRhsk2sExZ9uT68MqbEKS8mpAyfmKOSPIOGw%3D%3D&requestUrl=http%3A%2F%2Flocalhost%3A60680%2F&browserName=Chrome&userAgent=Mozilla%2F5.0+(Windows+NT+10.0%3B+WOW64)+AppleWebKit%2F537.36+(KHTML%2C+like+Gecko)+Chrome%2F55.0.2883.87+Safari%2F537.36&tid=10" (RelFrameId=1, Internal ID=52)  	[MsgId: MMSG-27637]
Action.c(100): web_websocket_send highest severity level was "warning"  	[MsgId: MMSG-26391]
Action.c(107): web_websocket_send started  	[MsgId: MMSG-26355]
Action.c(107): Retaining websocket connection of URI="ws://localhost:9264/981241ba45fd409bb2f04296b511663a/browserLinkSignalR/connect?transport=webSockets&connectionToken=AQAAANCMnd8BFdERjHoAwE%2FCl%2BsBAAAA4RHf8%2FwaWESxTreUEEgEWwAAAAACAAAAAAAQZgAAAAEAACAAAAC30EdkCf1%2FmT7giZea4qSyNNV6J96YC1%2BnxTJ3cTVZyAAAAAAOgAAAAAIAACAAAAB2GqitgHsotTjuVQHOW%2F2fsPIRy5EvgJh3DJdN6DVqHjAAAADgbqwEyB54jMr6o7RB%2BthdRBkkxr076L0%2FhtZ%2FucrJ8GxdTe%2BthpaTr0rsCXS9LAxAAAAANBQQPrFU1iYBKAMMogQuwlnWohz3%2FWcqlE4FYu9UdC4fvilc8uQRhsk2sExZ9uT68MqbEKS8mpAyfmKOSPIOGw%3D%3D&requestUrl=http%3A%2F%2Flocalhost%3A60680%2F&browserName=Chrome&userAgent=Mozilla%2F5.0+(Windows+NT+10.0%3B+WOW64)+AppleWebKit%2F537.36+(KHTML%2C+like+Gecko)+Chrome%2F55.0.2883.87+Safari%2F537.36&tid=10" (RelFrameId=1, Internal ID=52)  	[MsgId: MMSG-27637]
Action.c(107): Warning -35047: The WebSocket whose ID is "0" is not connected  	[MsgId: MWAR-35047]
Action.c(107): Retaining websocket connection of URI="ws://localhost:9264/981241ba45fd409bb2f04296b511663a/browserLinkSignalR/connect?transport=webSockets&connectionToken=AQAAANCMnd8BFdERjHoAwE%2FCl%2BsBAAAA4RHf8%2FwaWESxTreUEEgEWwAAAAACAAAAAAAQZgAAAAEAACAAAAC30EdkCf1%2FmT7giZea4qSyNNV6J96YC1%2BnxTJ3cTVZyAAAAAAOgAAAAAIAACAAAAB2GqitgHsotTjuVQHOW%2F2fsPIRy5EvgJh3DJdN6DVqHjAAAADgbqwEyB54jMr6o7RB%2BthdRBkkxr076L0%2FhtZ%2FucrJ8GxdTe%2BthpaTr0rsCXS9LAxAAAAANBQQPrFU1iYBKAMMogQuwlnWohz3%2FWcqlE4FYu9UdC4fvilc8uQRhsk2sExZ9uT68MqbEKS8mpAyfmKOSPIOGw%3D%3D&requestUrl=http%3A%2F%2Flocalhost%3A60680%2F&browserName=Chrome&userAgent=Mozilla%2F5.0+(Windows+NT+10.0%3B+WOW64)+AppleWebKit%2F537.36+(KHTML%2C+like+Gecko)+Chrome%2F55.0.2883.87+Safari%2F537.36&tid=10" (RelFrameId=1, Internal ID=52)  	[MsgId: MMSG-27637]
Action.c(107): web_websocket_send highest severity level was "warning"  	[MsgId: MMSG-26391]
Action.c(116): web_websocket_send started  	[MsgId: MMSG-26355]
Action.c(116): Retaining websocket connection of URI="ws://localhost:9264/981241ba45fd409bb2f04296b511663a/browserLinkSignalR/connect?transport=webSockets&connectionToken=AQAAANCMnd8BFdERjHoAwE%2FCl%2BsBAAAA4RHf8%2FwaWESxTreUEEgEWwAAAAACAAAAAAAQZgAAAAEAACAAAAC30EdkCf1%2FmT7giZea4qSyNNV6J96YC1%2BnxTJ3cTVZyAAAAAAOgAAAAAIAACAAAAB2GqitgHsotTjuVQHOW%2F2fsPIRy5EvgJh3DJdN6DVqHjAAAADgbqwEyB54jMr6o7RB%2BthdRBkkxr076L0%2FhtZ%2FucrJ8GxdTe%2BthpaTr0rsCXS9LAxAAAAANBQQPrFU1iYBKAMMogQuwlnWohz3%2FWcqlE4FYu9UdC4fvilc8uQRhsk2sExZ9uT68MqbEKS8mpAyfmKOSPIOGw%3D%3D&requestUrl=http%3A%2F%2Flocalhost%3A60680%2F&browserName=Chrome&userAgent=Mozilla%2F5.0+(Windows+NT+10.0%3B+WOW64)+AppleWebKit%2F537.36+(KHTML%2C+like+Gecko)+Chrome%2F55.0.2883.87+Safari%2F537.36&tid=10" (RelFrameId=1, Internal ID=52)  	[MsgId: MMSG-27637]
Action.c(116): Warning -35047: The WebSocket whose ID is "0" is not connected  	[MsgId: MWAR-35047]
